image,pitch,yaw
0.tiff,0.033460662,0.03149205
1.tiff,0.033320047,0.031317198
2.tiff,0.033263816,0.031202799
3.tiff,0.033280002,0.031227255
4.tiff,0.033334144,0.030962994
5.tiff,0.033415283,0.030961419
6.tiff,0.033446533,0.030977679
7.tiff,0.033281513,0.030892765
8.tiff,0.033236362,0.031064567
9.tiff,0.033220408,0.031055381
10.tiff,0.033258463,0.030943017
11.tiff,0.033340064,0.031099913
12.tiff,0.033510007,0.031326728
13.tiff,0.033595556,0.031216564
14.tiff,0.033532481,0.031391741
15.tiff,0.033495109,0.031492854
16.tiff,0.033465358,0.031642475
17.tiff,0.033360655,0.031749401
18.tiff,0.033418145,0.031717277
19.tiff,0.0334275,0.031783546
20.tiff,0.033394621,0.031789313
21.tiff,0.03341294,0.031843088
22.tiff,0.033441878,0.031896233
23.tiff,0.03347431,0.031920854
24.tiff,0.033673004,0.031895891
25.tiff,0.033691393,0.031809686
26.tiff,0.033739234,0.031857383
27.tiff,0.033870127,0.032044827
28.tiff,0.033922005,0.032077815
29.tiff,0.033905626,0.032005283
30.tiff,0.033826981,0.032021794
31.tiff,0.033728369,0.031842124
32.tiff,0.033514413,0.031709638
33.tiff,0.033308161,0.031800442
34.tiff,0.033020072,0.031873657
35.tiff,0.032983606,0.031961453
36.tiff,0.0330234,0.031907032
37.tiff,0.033065247,0.031739727
38.tiff,0.033050337,0.031540951
39.tiff,0.033103431,0.031582533
40.tiff,0.033188116,0.031532023
41.tiff,0.033231693,0.031634739
42.tiff,0.033226943,0.031821175
43.tiff,0.033240995,0.031747988
44.tiff,0.033375251,0.031726231
45.tiff,0.033299205,0.031822621
46.tiff,0.033261335,0.031841523
47.tiff,0.033184914,0.031789021
48.tiff,0.033038344,0.031788333
49.tiff,0.032908941,0.031679262
50.tiff,0.032816086,0.031687936
51.tiff,0.032756407,0.031794531
52.tiff,0.032784613,0.031593575
53.tiff,0.032804114,0.03162547
54.tiff,0.03277453,0.031712464
55.tiff,0.032776206,0.031704693
56.tiff,0.032862178,0.031871467
57.tiff,0.03291095,0.031922341
58.tiff,0.03290546,0.032135262
59.tiff,0.032971448,0.03221872
60.tiff,0.033213609,0.032294266
61.tiff,0.033323927,0.032235686
62.tiff,0.033223784,0.03238959
63.tiff,0.033171644,0.032356568
64.tiff,0.033167467,0.032280148
65.tiff,0.033224246,0.032275467
66.tiff,0.033133473,0.032172268
67.tiff,0.033041173,0.032139536
68.tiff,0.033199485,0.032132703
69.tiff,0.033197778,0.032300355
70.tiff,0.033219991,0.032381106
71.tiff,0.033216469,0.032496747
72.tiff,0.033395109,0.032557172
73.tiff,0.033482065,0.032678765
74.tiff,0.03357086,0.032815566
75.tiff,0.033721758,0.032995333
76.tiff,0.033828185,0.033055686
