image,pitch,yaw
0.tiff,0.062392836,0.011597024
1.tiff,0.062286988,0.011738781
2.tiff,0.062423734,0.011857483
3.tiff,0.062401079,0.012297354
4.tiff,0.062273219,0.01217654
5.tiff,0.062171016,0.012158662
6.tiff,0.062012103,0.011789885
7.tiff,0.061986832,0.011954601
8.tiff,0.061981926,0.012066487
9.tiff,0.061910073,0.01222567
10.tiff,0.061924371,0.012173386
11.tiff,0.061773293,0.012539553
12.tiff,0.061601976,0.012399719
13.tiff,0.061475109,0.01224847
14.tiff,0.061364177,0.012357505
15.tiff,0.061712671,0.012596928
16.tiff,0.06170522,0.013073653
17.tiff,0.061633935,0.013447409
18.tiff,0.061577669,0.013686486
19.tiff,0.061596339,0.013534162
20.tiff,0.061514858,0.013535825
21.tiff,0.061846022,0.013068848
22.tiff,0.061885865,0.012652668
23.tiff,0.0620201,0.012342003
24.tiff,0.0619826,0.012456907
25.tiff,0.061613509,0.012215038
26.tiff,0.061773851,0.011846391
27.tiff,0.061887176,0.011708236
28.tiff,0.061993739,0.011500723
29.tiff,0.06204938,0.012036047
30.tiff,0.062079327,0.012297374
31.tiff,0.061982249,0.012509706
32.tiff,0.0618358,0.013193295
33.tiff,0.061748185,0.013173917
34.tiff,0.061905315,0.013049958
35.tiff,0.061992548,0.013291291
36.tiff,0.061963964,0.013647649
37.tiff,0.061893011,0.013703427
38.tiff,0.061944309,0.013724176
39.tiff,0.061948318,0.013422751
40.tiff,0.06203694,0.013223786
41.tiff,0.062036393,0.013372452
42.tiff,0.062107726,0.013448117
43.tiff,0.062047773,0.013756996
44.tiff,0.062085013,0.013852708
45.tiff,0.062016295,0.013901676
46.tiff,0.061844172,0.013834097
47.tiff,0.0618698,0.013745806
48.tiff,0.061932305,0.013786971
49.tiff,0.061967147,0.014035903
50.tiff,0.061991466,0.014301364
51.tiff,0.062106623,0.01427043
52.tiff,0.062141722,0.014053255
53.tiff,0.062181544,0.013975239
54.tiff,0.062085788,0.014007987
55.tiff,0.062210843,0.01400474
56.tiff,0.062370177,0.013852797
57.tiff,0.062370057,0.013665943
58.tiff,0.062062327,0.013582822
59.tiff,0.061850513,0.013153513
60.tiff,0.061530743,0.012869461
61.tiff,0.061380515,0.012695721
62.tiff,0.061328972,0.012658036
63.tiff,0.061302118,0.012764432
64.tiff,0.061295002,0.012783878
65.tiff,0.0612913,0.01272074
66.tiff,0.061095544,0.012779676
67.tiff,0.061062695,0.012879914
68.tiff,0.061037475,0.012814532
69.tiff,0.061196351,0.01307633
70.tiff,0.061416199,0.013245269
71.tiff,0.061407611,0.013658767
72.tiff,0.061459538,0.013990899
73.tiff,0.061639769,0.014153726
74.tiff,0.061781875,0.014328778
75.tiff,0.06186372,0.014045178
76.tiff,0.06184428,0.01393136
77.tiff,0.061867282,0.013821573
78.tiff,0.062302569,0.014132041
79.tiff,0.062392511,0.014095585
80.tiff,0.062520616,0.014306493
81.tiff,0.062550228,0.014168566
82.tiff,0.062622414,0.013883106
83.tiff,0.06254976,0.014008694
84.tiff,0.062580315,0.013960282
85.tiff,0.062563703,0.014392897
86.tiff,0.062752908,0.014792129
87.tiff,0.062618476,0.014979388
88.tiff,0.062291377,0.014587442
89.tiff,0.062043015,0.014171039
90.tiff,0.061930667,0.01368544
91.tiff,0.062091155,0.013353563
92.tiff,0.062139569,0.013231274
93.tiff,0.062200352,0.012991789
94.tiff,0.062125524,0.012846694
95.tiff,0.062098977,0.012850727
96.tiff,0.061808278,0.012919341
97.tiff,0.061787616,0.013119296
98.tiff,0.061674467,0.013231506
99.tiff,0.061840604,0.013585949
100.tiff,0.061926371,0.014049999
101.tiff,0.061668869,0.014387213
102.tiff,0.061564853,0.014719474
103.tiff,0.061799136,0.014781904
104.tiff,0.061835111,0.014856426
105.tiff,0.061919091,0.015003157
106.tiff,0.06191787,0.014831886
107.tiff,0.061939415,0.01469137
108.tiff,0.061879859,0.014945604
109.tiff,0.061628058,0.015095083
110.tiff,0.061432634,0.014906702
111.tiff,0.061422678,0.014862778
112.tiff,0.061418941,0.014819022
113.tiff,0.06113754,0.014670199
114.tiff,0.061030866,0.014745931
115.tiff,0.060936609,0.014604066
116.tiff,0.061091332,0.014490656
117.tiff,0.061202101,0.014537086
118.tiff,0.06122968,0.014415671
119.tiff,0.061271974,0.01420771
120.tiff,0.061195381,0.014118848
121.tiff,0.061194571,0.013973393
122.tiff,0.060916087,0.013782296
123.tiff,0.060574682,0.013635263
124.tiff,0.060491488,0.013443575
125.tiff,0.060234027,0.013290985
126.tiff,0.05998068,0.013237345
127.tiff,0.059807516,0.012994718
128.tiff,0.059683703,0.012826677
129.tiff,0.059658152,0.012705226
130.tiff,0.059660115,0.012545754
131.tiff,0.05952349,0.01235354
132.tiff,0.059538166,0.0121036
133.tiff,0.059582049,0.011749848
134.tiff,0.059571483,0.011458982
135.tiff,0.059683025,0.011031881
136.tiff,0.05975304,0.010690821
137.tiff,0.059742882,0.010482395
138.tiff,0.059787493,0.01026625
139.tiff,0.059892775,0.01025835
140.tiff,0.059784285,0.010253325
141.tiff,0.059792024,0.010080884
142.tiff,0.059791198,0.010077343
143.tiff,0.059811795,0.010042867
144.tiff,0.059734627,0.01003886
145.tiff,0.059668428,0.010017091
146.tiff,0.059670952,0.010082813
147.tiff,0.059686106,0.010117453
148.tiff,0.059748208,0.010159155
149.tiff,0.059780944,0.010048475
150.tiff,0.059787708,0.010132459
151.tiff,0.059940623,0.010228725
152.tiff,0.059916975,0.010168216
153.tiff,0.059925766,0.010330848
154.tiff,0.059858878,0.01030879
155.tiff,0.059838203,0.010354311
156.tiff,0.059824602,0.010420942
157.tiff,0.059815264,0.010489264
158.tiff,0.059930391,0.010405856
159.tiff,0.059847198,0.010733805
160.tiff,0.059985672,0.010817302
161.tiff,0.059961334,0.010797118
162.tiff,0.060101744,0.010810628
163.tiff,0.060196221,0.010654453
164.tiff,0.060428604,0.01080965
165.tiff,0.060646771,0.011176073
166.tiff,0.060671198,0.010977
167.tiff,0.060977897,0.010992256
168.tiff,0.061025847,0.011135054
169.tiff,0.061288446,0.010875042
170.tiff,0.061165766,0.010412061
171.tiff,0.061012415,0.010467478
172.tiff,0.061147587,0.010465941
173.tiff,0.061395125,0.010652742
174.tiff,0.061503212,0.010671328
175.tiff,0.061413385,0.010653284
176.tiff,0.061495536,0.011042198
177.tiff,0.061269926,0.011130874
178.tiff,0.061207515,0.011138148
179.tiff,0.060866362,0.011379363
180.tiff,0.06078904,0.011726342
181.tiff,0.060935511,0.011918468
182.tiff,0.06085493,0.012214454
183.tiff,0.06054948,0.012427081
184.tiff,0.060523809,0.012554991
185.tiff,0.060531378,0.012375859
186.tiff,0.060773862,0.012473958
187.tiff,0.060871274,0.012448176
188.tiff,0.060889283,0.01268963
189.tiff,0.060972796,0.012524569
190.tiff,0.061058529,0.01240792
191.tiff,0.060847158,0.012375025
192.tiff,0.060634323,0.012214717
193.tiff,0.06072496,0.012113288
194.tiff,0.060719992,0.011991686
195.tiff,0.060737811,0.012037031
196.tiff,0.060664771,0.011953984
197.tiff,0.060828582,0.012074018
198.tiff,0.060912638,0.011948284
199.tiff,0.06096557,0.012129625
200.tiff,0.061128771,0.012384094
201.tiff,0.061358624,0.012227813
202.tiff,0.061425564,0.01231534
203.tiff,0.061481425,0.012484928
204.tiff,0.061317635,0.012671133
205.tiff,0.061190649,0.012750803
206.tiff,0.061060881,0.012659598
207.tiff,0.060995082,0.012534415
208.tiff,0.061108542,0.012472271
209.tiff,0.061260772,0.012266555
210.tiff,0.061387029,0.012194725
211.tiff,0.061358351,0.012273852
212.tiff,0.061466356,0.012370271
213.tiff,0.06142225,0.012446135
214.tiff,0.061306635,0.012402348
215.tiff,0.061161354,0.012522292
216.tiff,0.0610679,0.012815967
217.tiff,0.060871769,0.012877444
218.tiff,0.060681958,0.01312557
219.tiff,0.060707881,0.013472932
220.tiff,0.060798635,0.013656801
221.tiff,0.061192341,0.013861268
222.tiff,0.061417891,0.013856316
223.tiff,0.061706819,0.013701783
224.tiff,0.062048965,0.013778106
225.tiff,0.062522877,0.013695517
226.tiff,0.062753192,0.013590953
227.tiff,0.062979116,0.013743822
228.tiff,0.063041195,0.013475624
229.tiff,0.062964458,0.013292262
230.tiff,0.06274751,0.013086368
231.tiff,0.062439589,0.012819376
232.tiff,0.062312088,0.012526287
233.tiff,0.06226718,0.012679773
234.tiff,0.062272892,0.012390693
235.tiff,0.062255328,0.01219759
236.tiff,0.062249183,0.011905391
237.tiff,0.06223455,0.011646682
238.tiff,0.062302147,0.011589314
239.tiff,0.062367396,0.011347968
240.tiff,0.062518396,0.011224585
241.tiff,0.062614378,0.011237256
242.tiff,0.062855771,0.011360626
243.tiff,0.062856763,0.011201205
244.tiff,0.062851626,0.011363876
245.tiff,0.062738296,0.011422151
246.tiff,0.062840971,0.011455751
247.tiff,0.062880921,0.011525732
248.tiff,0.062944799,0.011635862
249.tiff,0.062923467,0.011826996
250.tiff,0.062993884,0.011989993
251.tiff,0.063188958,0.01215135
